timestamp,message,logStreamName
1715105907417,"INIT_START Runtime Version: nodejs:16.v35	Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:6821b9edbc91e06f7bfdfbf3387aa97c2df9c7bc80959c565b8c35a8421333ed
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908640,"2024-05-07T18:18:28.640Z	undefined	INFO	{""_logLevel"":""info"",""msg"":""registered job"",""_version"":""__"",""id"":""retranscode-asset"",""iconikJobTitle"":""Retranscode asset"",""_tags"":[""jobs"",""registration""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908643,"2024-05-07T18:18:28.643Z	undefined	INFO	{""_logLevel"":""info"",""msg"":""registered job"",""_version"":""__"",""id"":""retranscode-saved-search"",""iconikJobTitle"":""Retranscode Saved Search"",""_tags"":[""jobs"",""registration""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908668,"START RequestId: 30b8b09a-5714-54b1-88cb-ee2e258bbac4 Version: $LATEST
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908671,"2024-05-07T18:18:28.671Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""_logLevel"":""info"",""msg"":""event"",""_version"":""__"",""_traceId"":""F0rmuC42PhVEp1-vyCgAv"",""Records"":[{""messageId"":""8c1064d8-825f-4e6e-8134-517d27d766bc"",""receiptHandle"":""AQEBdu4XSxLQ0qAD0MiQJqVYw0pJuOSMA8P1ADMIZgivF0ymCPLvH9KThQtFxVgfJKWKwzNjPQUDb5YCzlgGNh4VRYlyFHNSaqJCC0K89agPCaA7VAQ5XkhIoVyBqSqb4IMZ2/zPgfGjEdqfn6jODLeBIazPxnLZatDN4e3RsdPx2MuUXZYsvEQP3bQWa2Hu7h7vTuDe2BbvpQ3KEKhldMAWPWDiOBahtK2Rwy5L9/FdiiBnLveI49ABkeRW2I6Jc+14wdISy+hS4QjtXV/39U0/S+bWedKJVpnQkcntrKL+ofijiqyMTnFO+HlsclCtWz5Y"",""body"":{""args"":[""2082b206-9489-11ee-9e20-eed30b40a488"",""F0rmuC42PhVEp1-vyCgAv""],""iconikJobId"":""327eddd0-0c9e-11ef-a680-e29c412b5213"",""traceId"":""F0rmuC42PhVEp1-vyCgAv""},""attributes"":{""ApproximateReceiveCount"":""1"",""AWSTraceHeader"":""Root=1-663a7072-4644e9cc0aba28af4cfa6668;Parent=55936188512af2a0;Sampled=0;Lineage=f920d47d:0"",""SentTimestamp"":""1715105906911"",""SequenceNumber"":""18885811185878768640"",""MessageGroupId"":""2082b206-9489-11ee-9e20-eed30b40a488"",""SenderId"":""AROAWO32GIZPWGV65GEWI:prod-or-sfmam-win-autoscaler-retranscode"",""MessageDeduplicationId"":""Pe_uUXdf1h2Zxig6azg2a"",""ApproximateFirstReceiveTimestamp"":""1715105906911""},""messageAttributes"":{""id"":{""stringValue"":""retranscode-asset"",""stringListValues"":[],""binaryListValues"":[],""dataType"":""String""}},""md5OfMessageAttributes"":""f7aaf10b9721b210a40042f79084044d"",""md5OfBody"":""3841d70c9260a73a56619aa6c392c340"",""eventSource"":""aws:sqs"",""eventSourceARN"":""arn:aws:sqs:us-west-2:444248507999:prod-or-sfmam-win-autoscaler-jobs.fifo"",""awsRegion"":""us-west-2""}],""_tags"":[""jobs"",""runner""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908726,"2024-05-07T18:18:28.726Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""_logLevel"":""info"",""msg"":""serialized"",""_version"":""__"",""_traceId"":""F0rmuC42PhVEp1-vyCgAv"",""id"":""retranscode-asset"",""args"":[""2082b206-9489-11ee-9e20-eed30b40a488"",""F0rmuC42PhVEp1-vyCgAv""],""iconikJobId"":""327eddd0-0c9e-11ef-a680-e29c412b5213"",""traceId"":""F0rmuC42PhVEp1-vyCgAv"",""_tags"":[""jobs"",""runner""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908728,"2024-05-07T18:18:28.728Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""_logLevel"":""info"",""msg"":""found handler"",""_version"":""__"",""_traceId"":""F0rmuC42PhVEp1-vyCgAv"",""jobId"":""retranscode-asset"",""_tags"":[""jobs"",""runner""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908745,"2024-05-07T18:18:28.745Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""_logLevel"":""info"",""msg"":""initialized"",""_version"":""__"",""_traceId"":""F0rmuC42PhVEp1-vyCgAv"",""jobId"":""327eddd0-0c9e-11ef-a680-e29c412b5213"",""_tags"":[""jobs"",""runner""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908746,"2024-05-07T18:18:28.746Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""_logLevel"":""info"",""msg"":""running"",""_version"":""__"",""_traceId"":""F0rmuC42PhVEp1-vyCgAv"",""jobData"":{""args"":[""assetId"",""traceId""],""assetId"":""2082b206-9489-11ee-9e20-eed30b40a488"",""traceId"":""F0rmuC42PhVEp1-vyCgAv"",""iconikJobId"":""327eddd0-0c9e-11ef-a680-e29c412b5213""},""_tags"":[""jobs"",""runner""]}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
1715105908747,"2024-05-07T18:18:28.747Z	30b8b09a-5714-54b1-88cb-ee2e258bbac4	INFO	{""method"":""GET"",""url"":""files/v1/assets/2082b206-9489-11ee-9e20-eed30b40a488/files/"",""params"":{""generate_signed_url"":true}}
",2024/05/07/[$LATEST]c0c4653b27dc4652a744d3e2d13fae88
